mid	name	image	num_active_days	active_fraction_before	active_fraction_after	max_smoothed_before	max_raw_before	mean_before	mean_after	mean_after_peak	peak_smoothed	peak_raw	peak_raw_day	time_till_half	time_till_half_thresh	natural_death	unnatural_death	gender	cause_of_death	age	notable_type
/m/0101cfdn	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/NA_0101cfdn.png")	314	0.4	0.470914127423823	-5.07724433786734	-3.90513989725535	-5.48274903497436	-5.24467108366985	-5.28380419455944	-4.66226865331049	-3.88754437007676	24	0.369444444444444	0.361111111111111	0	1		<http://rdf.freebase.com/ns/m.0599xjp>Falling from height	25	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/010gcqc7	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/NA_010gcqc7.png")	192	0.0444444444444444	0.487534626038781	-5.79581973715622	-3.70918512955025	-5.82295737506408	-5.13579021050295	-5.23433607163432	-3.79742364254143	-3.31180564376038	9	0.233333333333333	0.161111111111111	0	1		<http://rdf.freebase.com/ns/m.0x2fg>Homicide	17	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/010p8p	Zecharia_Sitchin	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/Zecharia_Sitchin.png")	84	0.16304347826087	0.10803324099723	-5.49092400608307	-4.74027845451713	-5.76856041456247	-5.78328447838188	-5.78423070956018	-5.7688402136184	-4.78136517185996	18	0.458333333333333	0.677777777777778	0	0	Male		90	<http://rdf.freebase.com/ns/m.0bgm3n7>Person or entity appearing in film
/m/010vq7bl	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/NA_010vq7bl.png")	31	0.0417827298050139	0.0443213296398892	-5.79021002561257	-4.41775116822367	-5.82350128823685	-5.80784020323045	-5.83921124493392	-4.80481608710995	-3.80290878013324	1	0.0277777777777778	0.025	0	0			NA	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/0115lg44	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/NA_0115lg44.png")	9	0.0138888888888889	0.0110803324099723	-5.80576194181367	-5.32344805584193	-5.84608984568524	-5.84374988477136	-5.84364207187796	-5.83174373223742	-Inf	0	0.25	0.236111111111111	0	0			NA	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/011ll3ct	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/NA_011ll3ct.png")	79	0.0694444444444444	0.149584487534626	-5.72687382671105	-3.90221275740959	-5.80025942774088	-5.68782592952724	-5.71786379638004	-4.61063705681004	-3.61674220538083	6	0.175	0.158333333333333	0	0			NA	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/011ltp9z	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/NA_011ltp9z.png")	19	0.0306406685236769	0.0221606648199446	-5.7878927491661	-4.57715848307303	-5.83450444789268	-5.83396928070414	-5.83179345615418	-5.84563218338092	-4.7839089364907	2	0.563888888888889	0.580555555555556	0	0			NA	<http://rdf.freebase.com/ns/m.0bgm3n7>Person or entity appearing in film
/m/011nz52y	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/NA_011nz52y.png")	23	0.025	0.0388888888888889	-5.79894578580109	-5.34871948445844	-5.84008275504142	-5.81924093422551	-5.83547819863788	-5.59905971928815	-3.9634052909539	0	0.075	0.0666666666666667	1	0		<http://rdf.freebase.com/ns/m.0qcr0>Cancer	NA	<http://rdf.freebase.com/ns/m.0jsg3l>Film producer
/m/011t8l33	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/NA_011t8l33.png")	85	0.0584958217270195	0.177285318559557	-5.74015959618982	-4.81985967127508	-5.81088425373592	-5.69425340121267	-5.72881200606216	-5.28328877988299	-3.87837995163874	4	0.183333333333333	0.0861111111111111	0	0			27	
/m/011vw3	Henryk_G%F3recki	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/Henryk_G+recki.png")	76	0.0471014492753623	0.174515235457064	-5.81797395833016	-5.00333987799513	-5.82930093867529	-5.65958840577612	-5.75990848895947	-4.29617184987957	-3.10589181439199	0	0.0722222222222222	0.0638888888888889	1	0	Male	<http://rdf.freebase.com/ns/m.0j5k070>Lung Infection	77	<http://rdf.freebase.com/ns/m.0kpysb>Composer
/m/012bfc	Lol_Coxhill	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/Lol_Coxhill.png")	24	0.0167130919220056	0.0498614958448753	-5.80639408109538	-4.82198981199315	-5.83746419748344	-5.79268553916948	-5.79861579378295	-5.66111499316099	-4.65038912785048	15	0.844444444444444	0.85	0	0	Male		80	<http://rdf.freebase.com/ns/m.0kpv1m>Musical Artist
/m/012f1d	Emanuel_Steward	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/Emanuel_Steward.png")	291	0.49025069637883	0.318559556786704	-5.1357339984568	-3.6416492472372	-5.42796029921236	-5.4864987494549	-5.60411193216473	-3.70080890662799	-1.99848069249026	1	0.0861111111111111	0.0694444444444444	0	0	Male		68	<http://rdf.freebase.com/ns/m.02_77lg>Organization founder
/m/012knf	Andrew_Huxley	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/Andrew_Huxley.png")	25	0.0167130919220056	0.0526315789473684	-5.82999285672186	-4.86709018905102	-5.8410194792049	-5.80284684948491	-5.82921522751491	-5.17027334886056	-4.76814767095823	6	0.0583333333333333	0.0583333333333333	0	0	Male		95	<http://rdf.freebase.com/ns/m.03j41y_>Academic
/m/0136p1	Donna_Summer	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/NEWS/Donna_Summer.png")	500	0.540389972144847	0.847645429362881	-5.09295030649803	-3.79895169579434	-5.36996273753981	-4.65201294255772	-4.7696140104992	-2.31517031936544	-1.84829197660934	0	0.325	0.113888888888889	1	0	Female	<http://rdf.freebase.com/ns/m.0qcr0>Cancer|<http://rdf.freebase.com/ns/m.04p3w>Lung cancer	64	<http://rdf.freebase.com/ns/m.0kpv1m>Musical Artist
