mid	profession	count	ambiguous1	level1	ambiguous2	level2	ambiguous3	level3
<http://rdf.freebase.com/ns/m.08l63hs>	Film production designer	49	0	art	0	film industry	0	supporting film role
<http://rdf.freebase.com/ns/m.08l6t9d>	Film set decorator	13	0	art	0	film industry	0	supporting film role
<http://rdf.freebase.com/ns/m.0kpyrz>	Film critic	7	0	art	0	film industry	0	supporting film role
<http://rdf.freebase.com/ns/m.0252jvb>	Theater Designer	6	0	art	0	film industry	0	supporting film role
<http://rdf.freebase.com/ns/m.0252jts>	Theater Choreographer	2	0	art	0	film industry	0	supporting film role
<http://rdf.freebase.com/ns/m.0jsg3s>	Film writer	211	0	art	0	film industry	0	supporting film role
<http://rdf.freebase.com/ns/m.0kpv1m>	Musical Artist	2422	0	art	0	music	0	performer
<http://rdf.freebase.com/ns/m.0kpv1_>	Musician	355	0	art	0	music	0	performer
<http://rdf.freebase.com/ns/m.0kpymf>	Conductor	60	0	art	0	music	0	performer
<http://rdf.freebase.com/ns/m.0kpyp4>	Opera singer	27	0	art	0	music	0	performer
<http://rdf.freebase.com/ns/m.0kpyt8>	Guitarist	24	0	art	0	music	0	performer
<http://rdf.freebase.com/ns/m.0kpyr6>	Bassist	13	0	art	0	music	0	performer
<http://rdf.freebase.com/ns/m.0kpync>	Drummer	8	0	art	0	music	0	performer
<http://rdf.freebase.com/ns/m.0kpytg>	Songwriter	28	0	art	0	music	0	other music role
<http://rdf.freebase.com/ns/m.025dxyh>	Opera Director	3	0	art	0	music	0	other music role
<http://rdf.freebase.com/ns/m.0kpysb>	Composer	605	0	art	0	music	0	other music role
<http://rdf.freebase.com/ns/m.0jsg4b>	Film music contributor	115	1	art	0	music	0	other music role
<http://rdf.freebase.com/ns/m.0kpynz>	Record Producer	60	0	art	0	music	0	other music role
<http://rdf.freebase.com/ns/m.02nmm_z>	Lyricist	41	0	art	0	music	0	other music role
<http://rdf.freebase.com/ns/m.03z1q78>	Recording Engineer	2	0	art	0	music	0	other music role
<http://rdf.freebase.com/ns/m.01xryvt>	Author	3785	0	art	0	written	0	written
<http://rdf.freebase.com/ns/m.02hrmwq>	Fictional Character Creator	22	0	art	0	written	0	written
<http://rdf.freebase.com/ns/m.02h7_57>	Comic Strip Creator	11	0	art	0	written	0	written
<http://rdf.freebase.com/ns/m.02hqqhn>	Comic Book Creator	9	0	art	0	written	0	written
<http://rdf.freebase.com/ns/m.02h7kvf>	Blogger	7	0	art	0	written	0	written
<http://rdf.freebase.com/ns/m.09gs117>	Periodical editor	6	0	art	0	written	0	written
