1999-05-27	11
2002-04-01	1
2006-02-25	2
2006-04-16	6
2007-03-05	1
2007-05-26	1
2007-07-09	1
2007-07-13	1
2007-07-23	2
2007-07-24	2
2007-07-29	1
2007-08-04	1
2007-08-05	5
2007-08-07	2
2007-08-11	3
2007-08-12	3
2007-08-13	1
2007-08-14	1
2007-08-16	1
2007-08-20	1
2007-08-21	1
2007-08-23	1
2007-08-27	1
2007-09-01	1
2007-09-05	1
2007-09-13	1
2007-10-10	1
2007-11-02	1
2007-11-03	1
2007-11-05	1
2007-11-06	2
2007-11-08	1
2007-11-13	1
2007-11-18	1
2007-11-23	1
2007-12-05	1
2007-12-06	1
2007-12-20	2
2008-01-07	1
2008-01-31	2
2008-02-01	2
2008-02-04	2
2008-02-06	1
2008-02-13	3
2008-02-15	1
2008-02-16	2
2008-02-24	2
2008-02-27	3
2008-03-02	1
2008-03-03	1
2008-03-04	36
2008-03-11	21
2008-03-14	3
2008-03-15	2
2008-03-20	2
2008-03-24	1
2008-03-27	2
2008-03-28	2
2008-04-01	1
2008-04-05	1
2008-04-07	1
2008-04-08	3
2008-04-15	359
2008-04-16	1
2008-04-18	8
2008-04-19	40
2008-04-24	75
2008-04-25	2
2008-04-26	4
2008-04-27	1
2008-04-28	2
2008-04-29	48
2008-05-01	2
2008-05-02	107
2008-05-03	4
2008-05-04	6
2008-05-05	10
2008-05-06	2
2008-05-07	104
2008-05-08	55
2008-05-09	19
2008-05-12	56
2008-05-15	62
2008-05-16	1
2008-05-18	5
2008-05-20	3
2008-05-21	1
2008-05-22	2
2008-05-30	1
2008-05-31	58
2008-06-02	1
2008-06-06	4
2008-06-08	1
2008-06-10	6
2008-06-11	50
2008-06-14	2
2008-06-18	1
2008-06-19	1
2008-06-20	4
2008-06-21	2
2008-06-22	2
2008-06-23	1
2008-06-24	1
2008-06-27	3
2008-06-28	2
2008-06-29	3
2008-06-30	4
2008-07-01	2
2008-07-02	4
2008-07-03	3
2008-07-04	4
2008-07-05	2
2008-07-06	2
2008-07-07	5
2008-07-08	47
2008-07-10	7
2008-07-11	68
2008-07-12	2
2008-07-13	5
2008-07-15	3
2008-07-16	2
2008-07-18	2
2008-07-19	1
2008-07-20	2
2008-07-23	2
2008-07-24	2
2008-07-25	2
2008-07-26	1
2008-07-29	108
2008-07-30	5
2008-07-31	2
2008-08-01	242
2008-08-02	229
2008-08-03	259
2008-08-04	477
2008-08-05	436
2008-08-06	376
2008-08-07	10
2008-08-08	209
2008-08-09	197
2008-08-10	134
2008-08-11	378
2008-08-12	246
2008-08-13	317
2008-08-14	459
2008-08-15	275
2008-08-16	150
2008-08-17	163
2008-08-18	979
2008-08-19	292
2008-08-20	1023
2008-08-21	986
2008-08-22	665
2008-08-23	284
2008-08-24	285
2008-08-25	325
2008-08-26	828
2008-08-27	1063
2008-08-28	1296
2008-08-29	629
2008-08-30	239
2008-08-31	391
2008-09-01	305
2008-09-02	1119
2008-09-03	876
2008-09-04	895
2008-09-05	1076
2008-09-06	349
2008-09-07	421
2008-09-08	1137
2008-09-09	1288
2008-09-10	1017
2008-09-11	1136
2008-09-12	1122
2008-09-13	794
2008-09-14	596
2008-09-15	1013
2008-09-16	952
2008-09-17	1345
2008-09-18	1005
2008-09-19	1326
2008-09-20	721
2008-09-21	802
2008-09-22	1231
2008-09-23	1416
2008-09-24	1253
2008-09-25	1323
2008-09-26	1374
2008-09-27	999
2008-09-28	542
2008-09-29	987
2008-09-30	1205
2008-10-01	1095
2008-10-02	1148
2008-10-03	2154
2008-10-04	883
2008-10-05	543
2008-10-06	927
2008-10-07	1128
2008-10-08	1034
2008-10-09	1233
2008-10-10	1020
2008-10-11	887
2008-10-12	663
2008-10-13	1190
2008-10-14	1694
