mid	name	image	num_active_days	active_fraction_before	active_fraction_after	max_smoothed_before	max_raw_before	mean_before	mean_after	mean_after_peak	peak_smoothed	peak_raw	peak_raw_day	time_till_half	time_till_half_thresh	natural_death	unnatural_death	gender	cause_of_death	age	notable_type
/m/06cjqt	Hideki_Irabu	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Hideki_Irabu.png")	229	0.275	0.361111111111111	-7.32088815068409	-6.28512040959526	-7.60894863342031	-7.52683611128224	-7.61419443886631	-5.22741880791112	-3.91639523609195	0	0.180555555555556	0.0805555555555556	0	0	Male		42	<http://rdf.freebase.com/ns/m.025698c>Baseball Player
/m/06ck6h	Jack_Goldman	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Jack_Goldman.png")	28	0.0139275766016713	0.0637119113573407	-7.83858675894658	-6.41986977751005	-7.85392756662836	-7.79720773811532	-7.84098145331361	-6.43269537526766	-5.30054932542164	2	0.0333333333333333	0.025	0	0	Male		90	<http://rdf.freebase.com/ns/m.02_77lg>Organization founder
/m/06cyjy	Ron_Fraser	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Ron_Fraser.png")	106	0.0722222222222222	0.221606648199446	-7.7847604910622	-6.40802543702333	-7.81464701803861	-7.70528448708301	-7.77900132888595	-6.21173018294188	-5.07948948384378	0	0.0777777777777778	0.0527777777777778	0	0	Male		80	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/06d0yc	Mindy_McCready	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Mindy_McCready.png")	618	0.75	0.96398891966759	-6.65479481133525	-5.09344062496633	-7.25376137473637	-6.87339403370642	-6.99389049115553	-4.63832394716991	-3.19823724373429	1	0.175	0.0777777777777778	0	1	Female	<http://rdf.freebase.com/ns/m.032s66>Gunshot|<http://rdf.freebase.com/ns/m.06z5s>Suicide	38	<http://rdf.freebase.com/ns/m.0kpv1m>Musical Artist
/m/06d6y	Richard_Matheson	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Richard_Matheson.png")	673	0.875	0.991689750692521	-6.89133750640122	-5.54508478484379	-7.15376547026685	-6.86341968200964	-6.91636260380387	-5.46155618605991	-4.30726859043539	2	0.247222222222222	0.0666666666666667	0	0	Male		87	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/06d7x6	Lynn_Compton	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Lynn_Compton.png")	20	0.0139275766016713	0.0415512465373961	-7.84714444610178	-7.09490812062139	-7.85716186410569	-7.83301543571132	-7.85851997624565	-7.4962219818196	-6.47828195703757	3	0.0472222222222222	0.0472222222222222	0	0	Male		91	<http://rdf.freebase.com/ns/m.02h66g5>Military Person
/m/06dglj	Stuart_Freeborn	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Stuart_Freeborn.png")	128	0.0305555555555556	0.32409972299169	-7.82525464170837	-7.01337787981508	-7.84975783369052	-7.65361074751692	-7.73532140268728	-5.48994028406632	-4.17746759634233	2	0.119444444444444	0.0416666666666667	0	0	Male		99	<http://rdf.freebase.com/ns/m.02_6zn1>Film crewmember
/m/06d_r5	Tim_Dog	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Tim_Dog.png")	629	0.780555555555556	0.96398891966759	-6.3332750740342	-4.31498152193666	-7.18251507399713	-6.84498771594599	-6.8858754172895	-5.39428580796056	-4.36805989484999	1	0.4	0.308333333333333	0	0			46	<http://rdf.freebase.com/ns/m.0kpv1m>Musical Artist
/m/06f04y	Oliver_Humperdink	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Oliver_Humperdink.png")	57	0.105072463768116	0.0777777777777778	-7.62323026602059	-5.93507266505194	-7.81264773974972	-7.77924000616175	-7.83009169024107	-6.19112137134925	-4.77333804924407	0	0.0416666666666667	0.0222222222222222	0	0	Male		62	<http://rdf.freebase.com/ns/m.01xrzlq>TV Actor
/m/06f4fs	Travis_Bean	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Travis_Bean.png")	107	0.147222222222222	0.15	-7.6987862426283	-6.38994622699436	-7.74892564875331	-7.71135652857544	-7.78888275835518	-5.45783086816569	-5.34563897683837	4	0.0527777777777778	0.0305555555555556	0	0	Male		64	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/06f9km	Jimmy_Sangster	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Jimmy_Sangster.png")	71	0.0666666666666667	0.130555555555556	-7.78636784936748	-6.69326502370363	-7.82615199302765	-7.74336547428441	-7.81516086032246	-5.84937760848341	-5.1202909723817	0	0.0444444444444444	0.0361111111111111	0	0	Male		84	<http://rdf.freebase.com/ns/m.01xrzlx>TV Writer
/m/06g7pz	Abdelbaset_al-Megrahi	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Abdelbaset_al-Megrahi.png")	118	0.264623955431755	0.0637119113573407	-6.80208211571236	-5.31536989083556	-7.60143246991521	-7.80354636762011	-7.84811096356837	-6.31918401967681	-4.47343207115541	0	0.0277777777777778	0.0222222222222222	1	0	Male	<http://rdf.freebase.com/ns/m.0qcr0>Cancer|<http://rdf.freebase.com/ns/m.0m32h>Prostate cancer	60	<http://rdf.freebase.com/ns/m.022tfrk>Deceased Person
/m/06gzbh	Steve_Sabol	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Steve_Sabol.png")	326	0.250696378830084	0.653739612188366	-7.35959217886091	-6.04477088211508	-7.67354636413563	-7.29779958538404	-7.42092844263372	-4.28743116060738	-3.43934006331633	0	0.141666666666667	0.119444444444444	1	0	Male	<http://rdf.freebase.com/ns/m.04fnvtm>Brain Cancer	70	<http://rdf.freebase.com/ns/m.02h51nz>Organization leader
